MovieId,MovieName,Year,Genres,Artists
173,Ran,1985,Action|Drama|War,Tatsuya Nakadai|Akira Terao|Jinpachi Nezu|Daisuke Ryû
174,Raging Bull,1980,Biography|Drama|Sport,Robert De Niro|Cathy Moriarty|Joe Pesci|Frank Vincent
175,Stalker,1979,Drama|Sci-Fi,Alisa Freyndlikh|Aleksandr Kaydanovskiy|Anatoliy Solonitsyn|Nikolay Grinko
176,Höstsonaten,1978,Drama|Music,Ingrid Bergman|Liv Ullmann|Lena Nyman|Halvar Björk
177,The Message,1976,Biography|Drama|History,Anthony Quinn|Irene Papas|Michael Ansara|Johnny Sekka
178,Sholay,1975,Action|Adventure|Comedy,Sanjeev Kumar|Dharmendra|Amitabh Bachchan|Amjad Khan
179,Monty Python and the Holy Grail,1975,Adventure|Comedy|Fantasy,Terry Jones|Graham Chapman|John Cleese|Eric Idle
180,The Great Escape,1963,Adventure|Drama|History,Steve McQueen|James Garner|Richard Attenborough|Charles Bronson
181,To Kill a Mockingbird,1962,Crime|Drama,Gregory Peck|John Megna|Frank Overton|Rosemary Murphy
182,Yôjinbô,1961,Action|Drama|Thriller,Toshirô Mifune|Eijirô Tôno|Tatsuya Nakadai|Yôko Tsukasa
183,Judgment at Nuremberg,1961,Drama|War,Spencer Tracy|Burt Lancaster|Richard Widmark|Marlene Dietrich
184,Some Like It Hot,1959,Comedy|Music|Romance,Marilyn Monroe|Tony Curtis|Jack Lemmon|George Raft
185,Smultronstället,1957,Drama|Romance,Victor Sjöström|Bibi Andersson|Ingrid Thulin|Gunnar Björnstrand
186,Det sjunde inseglet,1957,Drama|Fantasy|History,Max von Sydow|Gunnar Björnstrand|Bengt Ekerot|Nils Poppe
187,Du rififi chez les hommes,1955,Crime|Drama|Thriller,Jean Servais|Carl Möhner|Robert Manuel|Janine Darcey
188,Dial M for Murder,1954,Crime|Thriller,Ray Milland|Grace Kelly|Robert Cummings|John Williams
189,Tôkyô monogatari,1953,Drama,Chishû Ryû|Chieko Higashiyama|Sô Yamamura|Setsuko Hara
190,Rashômon,1950,Crime|Drama|Mystery,Toshirô Mifune|Machiko Kyô|Masayuki Mori|Takashi Shimura
191,All About Eve,1950,Drama,Bette Davis|Anne Baxter|George Sanders|Celeste Holm
192,The Treasure of the Sierra Madre,1948,Adventure|Drama|Western,Humphrey Bogart|Walter Huston|Tim Holt|Bruce Bennett
193,To Be or Not to Be,1942,Comedy|War,Carole Lombard|Jack Benny|Robert Stack|Felix Bressart
194,The Gold Rush,1925,Adventure|Comedy|Drama,Charles Chaplin|Mack Swain|Tom Murray|Henry Bergman
195,Sherlock Jr.,1924,Action|Comedy|Romance,Buster Keaton|Kathryn McGuire|Joe Keaton|Erwin Connelly
196,Portrait de la jeune fille en feu,2019,Drama|Romance,Noémie Merlant|Adèle Haenel|Luàna Bajrami|Valeria Golino
197,Pink,2016,Drama|Thriller,Taapsee Pannu|Amitabh Bachchan|Kirti Kulhari|Andrea Tariang
198,Koe no katachi,2016,Animation|Drama|Family,Miyu Irino|Saori Hayami|Aoi Yûki|Kenshô Ono
199,Contratiempo,2016,Crime|Drama|Mystery,Mario Casas|Ana Wagener|Jose Coronado|Bárbara Lennie
200,Ah-ga-ssi,2016,Drama|Romance|Thriller,Kim Min-hee|Jung-woo Ha|Cho Jin-woong|Moon So-Ri
201,Mommy,2014,Drama,Anne Dorval|Antoine Olivier Pilon|Suzanne Clément|Patrick Huard
202,Haider,2014,Action|Crime|Drama,Shahid Kapoor|Tabu|Shraddha Kapoor|Kay Kay Menon
203,Logan,2017,Action|Drama|Sci-Fi,Hugh Jackman|Patrick Stewart|Dafne Keen|Boyd Holbrook
204,Room,2015,Drama|Thriller,Brie Larson|Jacob Tremblay|Sean Bridgers|Wendy Crewson
205,Relatos salvajes,2014,Comedy|Drama|Thriller,Darío Grandinetti|María Marull|Mónica Villa|Diego Starosta
206,Soul,2020,Animation|Adventure|Comedy,Kemp Powers|Jamie Foxx|Tina Fey|Graham Norton
207,Kis Uykusu,2014,Drama,Haluk Bilginer|Melisa Sözen|Demet Akbag|Ayberk Pekcan
208,PK,2014,Comedy|Drama|Musical,Aamir Khan|Anushka Sharma|Sanjay Dutt|Boman Irani
209,OMG: Oh My God!,2012,Comedy|Drama|Fantasy,Paresh Rawal|Akshay Kumar|Mithun Chakraborty|Mahesh Manjrekar
210,The Grand Budapest Hotel,2014,Adventure|Comedy|Crime,Ralph Fiennes|F. Murray Abraham|Mathieu Amalric|Adrien Brody
211,Gone Girl,2014,Drama|Mystery|Thriller,Ben Affleck|Rosamund Pike|Neil Patrick Harris|Tyler Perry
212,Ôkami kodomo no Ame to Yuki,2012,Animation|Drama|Fantasy,Aoi Miyazaki|Takao Osawa|Haru Kuroki|Yukito Nishii
213,Hacksaw Ridge,2016,Biography|Drama|History,Andrew Garfield|Sam Worthington|Luke Bracey|Teresa Palmer
214,Inside Out,2015,Animation|Adventure|Comedy,Ronnie Del Carmen|Amy Poehler|Bill Hader|Lewis Black
215,Barfi!,2012,Comedy|Drama|Romance,Ranbir Kapoor|Priyanka Chopra|Ileana D'Cruz|Saurabh Shukla
216,12 Years a Slave,2013,Biography|Drama|History,Chiwetel Ejiofor|Michael Kenneth Williams|Michael Fassbender|Brad Pitt
217,Rush,2013,Action|Biography|Drama,Daniel Brühl|Chris Hemsworth|Olivia Wilde|Alexandra Maria Lara
218,Ford v Ferrari,2019,Action|Biography|Drama,Matt Damon|Christian Bale|Jon Bernthal|Caitriona Balfe
219,Spotlight,2015,Biography|Crime|Drama,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber
220,Song of the Sea,2014,Animation|Adventure|Drama,David Rawle|Brendan Gleeson|Lisa Hannigan|Fionnula Flanagan
221,Kahaani,2012,Mystery|Thriller,Vidya Balan|Parambrata Chattopadhyay|Indraneil Sengupta|Nawazuddin Siddiqui
